Artist,Total,Diff,Diversity
OrelSan,51112,8392,0.16418844889654094
Caballero & JeanJass,45112,6062,0.13437666252881714
Rohff,59595,10891,0.182750230724054
Dosseh,60605,9571,0.15792426367461432
ISHA,21618,4005,0.18526228143213988
Seth Gueko,43107,8882,0.20604542185723893
Hamsa,608,298,0.4901315789473684
Oxmo Puccino,33530,6822,0.2034595884282732
Damso,44992,7102,0.15785028449502134
Lomepal,72601,10654,0.14674728998223166
47Ter,22024,3539,0.1606883399927352
Josman,57948,7439,0.12837371436460274
Roméo Elvis,59863,8291,0.1384995740273625
Lalcko,45434,8186,0.18017343839415412
Freeze Corleone,51313,8050,0.15688032272523533
IAM,54565,10304,0.1888389993585632
Seyté,25238,5145,0.2038592598462636
Médine,29903,6910,0.2310804935959603
Swift Guad,48990,9256,0.18893651765666464
Passion Pit,15376,1908,0.1240894901144641
